country,region,lifeExpect1980,lifeExpect2000,physicians,waterUrban,waterRural,sanitationUrban,sanitationRural,underweight,stunting,HIVpercent,HIVchange,ART,tuberculosis,malaria,bedNets,healthCareTotal,healthCareGovt
Armenia,Asia,72.5,72.4,353,99,80,96,61,3,13,0.1,25,0,77,2,,273,112
Azerbaijan,Asia,68.4,72.2,354,95,59,73,36,7,13,0.1,,0,82,13,1.4,48,32
Bangladesh,Asia,50,61.4,23,82,72,75,39,48,45,,,0,221,40,,58,26
Bhutan,Asia,47.7,63.2,5,86,60,65,70,19,40,,,,118,279,,64,58
Cambodia,Asia,52.1,57.4,16,58,29,53,8,45,45,2.6,6.3,3,549,399,,184,27
Chi,Asia,66.6,71,164,92,68,69,29,11,16,0.1,27.7,5,113,2,,224,83
Georgia,Asia,70.7,73.6,391,90,61,96,69,3,12,0.1,100,8,85,8,,108,41
India,Asia,54.9,63.9,51,96,82,58,18,47,46,0.9,31.6,2,168,192,,80,14
Indonesia,Asia,56.2,66.8,16,89,69,71,38,26,,0.1,93,2.7,256,93,0.1,77,19
Japan,Asia,76.9,81.6,201,100,100,100,100,,,0.1,0,,33,,,2131,1660
Kazakhstan,Asia,67,66.3,330,96,72,87,52,4,10,0.2,59.2,1,146,,,204,123
KoreaDemPeoplesRep,Asia,69.1,63.1,297,100,100,58,60,21,42,,,,160,516,,44,32
KoreaRep,Asia,67.2,75.5,181,97,71,,,,,0.1,48.2,,91,5,,948,421
Kyrgyzstan,Asia,65.6,68.6,268,98,66,75,51,11,25,0.1,160,0,142,1,,108,53
LaoPeoplesDemRep,Asia,45.8,54.5,59,66,38,61,14,40,41,0.1,112.5,,170,498,,51,28
Malaysia,Asia,68,73.1,70,96,94,,98,12,,0.4,24.4,,95,56,,345,185
Mongolia,Asia,57.5,63.9,267,87,30,75,37,13,25,0.1,150,,209,,,122,88
Myanmar,Asia,51.8,57.3,30,95,74,96,63,35,34,1.2,18.5,1,154,252,,26,5
Nepal,Asia,49.1,59.9,5,93,82,68,20,48,51,0.5,36.4,,190,29,,63,19
Pakistan,Asia,53,61,66,95,87,92,35,38,37,0.1,17.7,2.2,181,55,,85,21
Philippines,Asia,62.1,70,116,90,77,81,61,28,30,0.1,107,3.5,320,45,,169,76
Singapore,Asia,71.8,78.1,140,100,,100,,14,11,0.2,20.6,0,43,,,993,333
SriLanka,Asia,67.9,72.6,43,99,72,98,89,29,14,0.1,59.1,2,54,348,,122,60
Tajikistan,Asia,65.9,68.8,218,93,47,71,47,,,0.1,,0,109,186,1.9,43,12
Thailand,Asia,65,69.3,30,95,80,97,100,19,16,1.5,9.7,4,128,100,,254,145
Turkmenistan,Asia,63.2,67.1,317,93,54,77,50,12,22,0.1,,,94,0,,245,180
Uzbekistan,Asia,66.6,69.7,289,97,84,73,48,19,31,0.1,266.7,0,102,0,,91,68
Vietm,Asia,58.7,69.2,53,93,67,84,26,33,36,0.4,33.3,1,193,86,15.8,134,38
Albania,Europe,70.4,73.7,139,99,95,99,81,14,32,,,0,28,,,150,97
Austria,Europe,73.1,78.5,324,100,100,100,100,,,0.3,1,92.6,15,,,2259,1565
Belarus,Europe,70.7,70.1,450,100,100,,,,,,,1,83,,,464,402
Belgium,Europe,73.7,78.8,418,100,,,,,,0.2,23.5,93.8,14,,,2481,1779
BosniaHerzegovi,Europe,70.7,74,134,100,96,99,88,4,10,0.1,,10,60,,,268,99
Bulgaria,Europe,71.2,70.9,338,100,100,100,100,,,0.1,,44.5,48,,,303,249
Croatia,Europe,70.5,74.2,237,,,,,1,1,0.1,,98.7,47,,,726,594
CzechRep,Europe,70.7,75.4,343,,,,,1,2,0.1,19,,13,,,1129,1032
Denmark,Europe,74.6,76.6,366,100,100,,,,,0.2,8.7,90.9,13,,,2503,2062
Estonia,Europe,69.6,71.7,316,,,93,,,,1.1,54,32,55,,,562,437
Finland,Europe,73.9,78,311,100,100,100,100,,,0.1,25,94.6,10,,,1845,1395
France,Europe,74.7,79,329,100,,,,,,0.4,9.1,,14,,,2567,1951
Germany,Europe,73.8,78.3,362,100,100,,,,,0.1,4.9,94.7,10,,,2820,2112
Greece,Europe,75.2,78.3,440,,,,,,,0.2,2.3,,20,,,1522,852
Hungary,Europe,69.1,71.9,316,100,98,100,85,2,3,0.1,,97,32,,,914,686
Iceland,Europe,76.8,79.8,347,100,100,,,,,0.2,0,87.5,3,,,2643,2191
Ireland,Europe,73.1,77,237,100,,,,,,0.1,18.2,,13,,,1935,1471
Italy,Europe,74.5,78.7,606,100,,,,,,0.5,7.7,72.7,8,,,2204,1660
Latvia,Europe,69.3,71,291,,,,,,,0.6,27.1,51,78,,,509,267
Lithuania,Europe,70.8,72.7,403,,,,,,,0.1,18.2,55,66,,,478,337
MacedoniaFYR,Europe,69.6,73.6,219,,,,,6,7,0.1,0,20,42,,,331,281
MoldovaRep,Europe,64.8,68.9,269,97,88,86,52,3,10,0.2,,8.3,155,,,112,56
Netherlands,Europe,76,78.3,329,100,99,100,100,,,0.2,11.8,96,9,,,2612,1653
Norway,Europe,76,78.9,356,100,100,,,,,0.1,11.1,89.6,6,,,2920,2497
Poland,Europe,70.9,73.9,220,100,,,,,,0.1,,92.9,32,,,629,452
Portugal,Europe,72.2,76.2,324,,,,,,,0.4,4.8,,47,,,1618,1116
Romania,Europe,69.7,70.5,189,91,16,86,10,6,8,0.1,,64.4,148,,,460,364
RussianFederation,Europe,68.3,66.8,417,99,88,93,70,3,13,1.1,62.3,83.3,126,,,454,310
SerbiaMontenegro,Europe,70.2,73.2,,99,86,97,77,2,5,0.2,0,26.4,38,,,616,488
Slovakia,Europe,70.6,73.7,325,100,100,100,100,,,0.1,,95,24,,,681,608
Slovenia,Europe,71.2,76.3,219,,,,,,,0.1,0,96.3,21,,,1545,1157
Spain,Europe,75.8,79.3,320,,,,,,,0.7,0,92.3,30,,,1607,1147
Sweden,Europe,76.3,80.1,305,100,100,100,100,,,0.1,6.1,95,5,,,2270,1934
Switzerland,Europe,76.2,79.1,352,100,100,100,100,,,0.4,8.3,95,8,,,3322,1897
Ukraine,Europe,69.1,69.7,297,100,94,100,97,3,15,1.4,20,1,95,,,176,119
UnitedKingdom,Europe,74,78.2,166,100,,,,,,0.2,20.5,92.1,12,,,1989,1635
Afghanistan,Middle East,40,43.1,19,19,11,16,5,48,52,,,0,333,1621,,34,18
Algeria,Middle East,60.5,69.7,85,92,80,99,82,6,18,0.1,32.4,,52,1,,169,127
Egypt,Middle East,56.5,68.8,212,100,97,84,56,11,21,0.1,9.1,,29,0,,153,75
IranIslamicRep,Middle East,59.7,70.3,105,98,83,86,78,11,15,0.1,72.2,100,29,32,,422,184
Iraq,Middle East,62.3,60.7,54,97,50,95,48,16,22,0.1,,,167,5,,97,31
Israel,Middle East,74.5,79.2,391,100,100,100,,,,0.1,,,10,,,1839,1273
Jordan,Middle East,63.7,71,205,91,91,94,85,5,8,0.1,0,21.3,5,,,412,194
Kuwait,Middle East,71.3,76.6,153,,,,,10,24,,,,26,,,612,482
Lebanon,Middle East,65.9,73.5,325,100,100,100,87,3,12,0.1,40,100,14,,,673,189
LibyarabJamahiriya,Middle East,62.2,72.8,129,72,68,97,96,5,15,0.3,,,21,,,239,134
Morocco,Middle East,58.3,68.7,48,99,56,83,31,9,24,0.1,,20.7,114,0,,199,78
Oman,Middle East,62.7,72.4,126,81,72,97,61,24,23,0.1,30,,12,24,,343,277
SaudiArabia,Middle East,62.6,72.3,140,97,,100,,14,20,,,,42,15,,591,441
SyriarabRep,Middle East,62.5,71.9,140,94,64,97,56,7,18,0.1,,,44,0,,427,187
Tunisia,Middle East,64.9,72.8,70,94,60,90,62,4,12,0.1,100,,23,,,463,350
Turkey,Middle East,62.3,70.5,124,96,87,94,62,8,16,,,,32,16,,294,209
