term,quizAvg,finalExam
S07,100,79
S07,88,68
S07,44,62
S07,84,64
S07,72,74
S07,84,65
S07,96,93
S07,48,57
S07,100,87
S07,72,67
S07,76,64
S07,44,55
S07,48,36
S07,76,74
S07,76,87
S07,76,78
S07,96,80
S07,92,74
S07,80,82
S07,96,90
S07,88,75
S07,80,36
S07,92,85
S07,72,72
S07,84,52
S07,96,88
S07,76,86
S07,84,74
S07,64,71
S07,68,78
S07,84,98
S07,84,83
S07,100,87
S07,60,83
S07,100,95
S07,64,83
S07,96,78
S07,96,87
S07,100,90
S07,80,83
S07,48,75
S07,96,82
S07,60,54
S07,92,79
S07,96,71
S07,100,73
S07,48,42
F07,80,102
F07,45,82
F07,60,82
F07,85,97
F07,80,80
F07,70,70
F07,55,59
F07,75,82
F07,65,95
F07,70,95
F07,80,91
F07,95,96
F07,65,72
F07,55,64
F07,80,81
F07,65,81
F07,70,76
F07,100,94
F07,70,93
F06,85,79
F06,95,94
F06,95,103
F06,100,104
F06,95,80
F06,60,93
F06,100,94
F06,96,99
F06,100,98
F06,100,87
F06,96,94
F06,92,81
F06,100,96
F06,88,93
F06,72,90
F06,92,79
F06,92,73
F06,88,78
F06,92,68
F06,92,81
F06,92,93
F06,60,79
F06,80,80
F06,96,73
F06,44,79
F06,64,55
F06,88,57
F06,88,77
F06,64,74
F06,56,60
F06,52,58
